Ignorant,Educated,Student,Professer,University,Clueless
Input,Output,Outside,Like,Side,Car
Inhale,Exhale,Breath,Weak,Smash,Zeal
Occupied,Vacant,Taken,Fail,Unavailable,Night
Pre,Post,Before,Now,Maybe,Certain
Silence,Noise,Quiet,Bang,Music,Wave
Hired,Fired,Job,Manager,Resign,Apply
Give,Receive,Gift,Kind,Make,Heart
Borrow,Lend,Buy,Ask,Return,Give
Former,Later,Past,After,Date,Never
Fantasy,Reality,Dream,Death,Game,Abstract
Single,Married,Bachelor,Free,Kids,Love
Servant,Master,Slave,Helper,Manger,Work
Trap,Release,Hold,Friendly,Fly,Fall
Employer,Employee,Job,Manager,Worker,Day
Part,Whole,Piece,Broken,Light,Silver
Offense,Defense,Soccer,Sport,Attack,Ready
Natural,Artificial,Real,Earth,Created,Box
Abundant,Scarce,Plenty,Everywhere,Confused,Bun
Optimistic,Pessimistic,Positive,Cheerful,Depressed,Bad
Joy,Grief,Funeral,Death,Lime,Sight
Foolish,Wise,Book,School,Water,Think
Intentional,Accidental,Purposeful,Done,Mile,Adult
Positive,Negative,Plus,Great,Bad,Band
Ancient,Modern,Old,Minimum,Once,Again
Allow,Forbid,Enter,Access,Indoors,Smile
Beginner,Professional,Novice,Lacking,Trying,Amazing
Never,Always,Sometimes,Liar,Angry,Now
Twist,Turn,Tighten,Open,Close,Lock
Hurt,Injure,Take,Anger,Love,Help
Start,Begin,End,Last,Stop,Pause
Smile,Grin,Frown,Speak,Mouth,Sad
Sound,Noise,Loud,Soft,Peace,Whisper
Talk,Speak,Hear,Listen,Present,Words
Buy,Purchase,Trade,Sell,Price,Cheap
Fear,Terror,Run,Hide,Excited,Cry
Help,Aid,Assistant,Payment,Apply,Ignore
Glad,Happy,Broken,Sad,Open,Angry
Middle,Center,Enter,Outside,Side,Exit
Evil,Wicked,Good,Angel,Spite,Lice
Couch,Sofa,Relax,Comfort,Furniture,Bed
Garbage,Trash,Paper,Clean,Odd,Awful
whine,wine,drink,noise,shout,party
mourning,morning,night,afternoon,day,sad
nose,knows,knew,now,smell,head
none,nun,pray,empty,known,zero
steal,steel,rob,metal,steam,stead
accept,except,correct,incorrect,instead,exact
beet,beat,vegetable,hit,bite,neat
build,billed,cost,make,construct,pay
dual,duel,two,fight,battle,twice
flew,flu,sick,ill,healthy,doctor
vary,very,few,many,change,different
wait,weight,stop,go,move,heavy
sole,soul,shoe,body,fish,foot
fair,fare,light,money,flair,flare
stare,stair,case,look,seen,stalk
night,knight,day,prince,right,castle